profile,quantum,seed,algorithm,mean_waiting,mean_turnaround,mean_response,mean_slowdown,p95_waiting,max_waiting,makespan,utilization,throughput,context_switches,dispatches
mixed,3,104,hrrn,55.92,65.72,55.92,13.358343529327401,144,168,246,0.9959349593495935,0.1016260162601626,24,25
mixed,3,105,fcfs,173.12,192.8,173.12,28.21843836753078,388,415,496,0.9919354838709677,0.05040322580645161,24,25
mixed,3,105,sjf,127.28,146.96,127.28,6.679040557434998,389,428,496,0.9919354838709677,0.05040322580645161,24,25
mixed,3,105,srtf,125.04,144.72,124.24,5.059596112990554,389,428,496,0.9919354838709677,0.05040322580645161,27,39
mixed,3,105,rr,248.32,268.0,22.32,13.049106235279316,424,425,496,0.9919354838709677,0.05040322580645161,170,173
mixed,3,105,priority,187.68,207.36,187.68,33.077398320444146,408,419,496,0.9919354838709677,0.05040322580645161,24,25
mixed,3,105,hrrn,130.8,150.48,130.8,8.04769174704855,389,428,496,0.9919354838709677,0.05040322580645161,24,25
mixed,3,106,fcfs,111.52,123.12,111.52,37.76678607503607,241,245,294,0.9863945578231292,0.08503401360544217,24,25
mixed,3,106,sjf,51.0,62.6,51.0,5.597241702741703,194,244,294,0.9863945578231292,0.08503401360544217,24,25
mixed,3,106,srtf,44.68,56.28,42.96,2.847908369408369,194,244,294,0.9863945578231292,0.08503401360544217,28,37
mixed,3,106,rr,92.64,104.24,21.56,11.856032828282828,227,236,294,0.9863945578231292,0.08503401360544217,102,103
mixed,3,106,priority,129.84,141.44,129.84,44.49669408369408,263,279,294,0.9863945578231292,0.08503401360544217,24,25
mixed,3,106,hrrn,52.48,64.08,52.48,6.640612914862914,187,227,294,0.9863945578231292,0.08503401360544217,24,25
mixed,3,107,fcfs,120.52,135.36,120.52,23.010910223852857,290,290,371,1.0,0.0673854447439353,24,25
